"","nearest_region_name","time","total_precipitation"
"121","Algeria","2017-09-01",655.791364908218
"122","Algeria","2017-10-01",650.126110434532
"123","Algeria","2017-11-01",505.325359553099
"124","Algeria","2017-12-01",254.217090676306
"125","Algeria","2018-01-01",195.49676699657
"126","Algeria","2018-02-01",289.819298863411
"127","Algeria","2018-03-01",469.416759639978
"128","Algeria","2018-04-01",666.90903544426
"129","Algeria","2018-05-01",566.586436152458
"130","Algeria","2018-06-01",459.646355420351
"131","Algeria","2018-07-01",415.835149073973
"132","Algeria","2018-08-01",570.5361109972
"133","Algeria","2018-09-01",608.839028954506
"134","Algeria","2018-10-01",626.839982151985
"135","Algeria","2018-11-01",472.240023344755
"136","Algeria","2018-12-01",330.18063711701
"137","Algeria","2019-01-01",211.541927926242
"138","Algeria","2019-02-01",267.314655512571
"139","Algeria","2019-03-01",402.361924499273
"140","Algeria","2019-04-01",566.933363676071
"141","Algeria","2019-05-01",571.106757164001
"142","Algeria","2019-06-01",482.864357039332
"143","Algeria","2019-07-01",470.171277314425
"144","Algeria","2019-08-01",584.180949687958
"145","Algeria","2019-09-01",651.676363706589
"146","Algeria","2019-10-01",730.641592264176
"147","Algeria","2019-11-01",486.362690657377
"148","Algeria","2019-12-01",308.608054723125
"149","Algeria","2020-01-01",230.098702588701
"150","Algeria","2020-02-01",282.673225803301
"151","Algeria","2020-03-01",479.019016355276
"152","Algeria","2020-04-01",536.702697187662
"153","Algeria","2020-05-01",564.160951256752
"154","Algeria","2020-06-01",438.139357358217
"155","Algeria","2020-07-01",424.109986491501
"156","Algeria","2020-08-01",541.929980903864
"157","Algeria","2020-09-01",607.320696353912
"158","Algeria","2020-10-01",638.847075819969
"159","Algeria","2020-11-01",619.022365868092
"160","Algeria","2020-12-01",407.536765770521
"161","Algeria","2021-01-01",209.651282459497
"162","Algeria","2021-02-01",255.945367421955
"163","Algeria","2021-03-01",392.395149976015
"164","Algeria","2021-04-01",547.566363811493
"165","Algeria","2021-05-01",540.916113018989
"166","Algeria","2021-06-01",397.225685708225
"167","Algeria","2021-07-01",397.648052455857
"168","Algeria","2021-08-01",642.371584624052
"169","American Samoa","2017-01-01",146.357092738152
"170","American Samoa","2017-02-01",242.340013980865
"171","American Samoa","2017-03-01",149.015479564667
