"Date","City","Value","avg_precipitation_sums","avg_precipitation_hours","avg_temperature_max","avg_temperature_min","avg_temperature_mean","avg_apparent_temperature_max","avg_apparent_temperature_min","avg_apparent_temperature_mean","avg_sunrise","avg_sunset","avg_shortwave_radiation","avg_windspeed_max","avg_windgusts_max","avg_winddirection","avg_et0"
2010-01-01,"Badulla",71,3.26774193548387,4.87096774193548,24.7225806451613,18.7032258064516,21.4645161290323,28.0838709677419,20.6774193548387,23.9548387096774,NA,NA,17.7887096774194,9.76129032258065,29.1967741935484,59.1612903225806,3.29483870967742
2010-01-01,"Colombo",584,2.94193548387097,2.35483870967742,30.3096774193548,23.0516129032258,26.3806451612903,34.7193548387097,26.0258064516129,29.9516129032258,NA,NA,19.5806451612903,12.0064516129032,27.2096774193548,68.1290322580645,4.24225806451613
2010-01-01,"Galle",36,2.39032258064516,4.03225806451613,29.858064516129,24.0258064516129,26.6258064516129,35.7741935483871,28.6258064516129,31.7032258064516,NA,NA,20.4148387096774,10.1322580645161,26.8516129032258,121.806451612903,4.10032258064516
2010-01-01,"Gampaha",608,1.19677419354839,1.51612903225806,30.2903225806452,22.8451612903226,26.2741935483871,34.0096774193548,25.6225806451613,29.4258064516129,NA,NA,19.7229032258065,14.4193548387097,32.8903225806452,35.9677419354839,4.43967741935484
2010-01-01,"Hambantota",49,1.53548387096774,1.80645161290323,29.0322580645161,23.5193548387097,26.0322580645161,33.3032258064516,26.8225806451613,29.5,NA,NA,19.6874193548387,16.1838709677419,30.7387096774194,68.5483870967742,4.20064516129032
2010-01-01,"Jaffna",858,1.44193548387097,2.61290322580645,27.158064516129,24.7451612903226,25.8645161290323,29.4645161290323,26.0967741935484,27.3838709677419,NA,NA,19.1,24.5290322580645,35.5806451612903,44.741935483871,4.51322580645161
2010-01-01,"Kalutara",121,2.94193548387097,2.35483870967742,29.7096774193548,23.258064516129,26.1612903225806,34.5967741935484,26.5064516129032,30.1967741935484,NA,NA,19.5806451612903,12.0064516129032,27.2096774193548,68.1290322580645,4.08193548387097
2010-01-01,"Kandy",211,1.60967741935484,3.09677419354839,25.8032258064516,19.0838709677419,22.3322580645161,29.0516129032258,21.2903225806452,25.0064516129032,NA,NA,17.7545161290323,10.8032258064516,30.3677419354839,72.2903225806452,3.39354838709677
2010-01-01,"Kurunegala",197,1.13870967741935,2.19354838709677,28.7225806451613,21.6354838709677,24.9,32.1032258064516,24.341935483871,27.8322580645161,NA,NA,18.7238709677419,14.3806451612903,34.6451612903226,57.8709677419355,3.97096774193548
2010-01-01,"Mannar",26,3.59354838709677,2.29032258064516,27.958064516129,23.7548387096774,25.6483870967742,30.5548387096774,25.8322580645161,27.6612903225806,NA,NA,18.08,21.6193548387097,34.0645161290323,42.3548387096774,4.20225806451613
2010-01-01,"Matale",138,1.44838709677419,3.32258064516129,27.0516129032258,20.3516129032258,23.5032258064516,30.3838709677419,22.9709677419355,26.3806451612903,NA,NA,17.5083870967742,12.6322580645161,32.5290322580645,70.258064516129,3.47548387096774
2010-01-01,"Matara",36,2.39032258064516,4.03225806451613,28.9161290322581,23.5483870967742,26.0677419354839,34.841935483871,28.0774193548387,30.9612903225806,NA,NA,20.4148387096774,10.1322580645161,26.8516129032258,121.806451612903,4.03935483870968
2010-01-01,"Trincomalee",233,1.7741935483871,5.51612903225806,27.3709677419355,24.4161290322581,25.7967741935484,30.3161290322581,26.7935483870968,28.1806451612903,NA,NA,17.8445161290323,19.8322580645161,32.7032258064516,51.741935483871,4.07935483870968
2010-02-01,"Badulla",68,0.603571428571429,1.5,26.2357142857143,19.1178571428571,22.4571428571429,30.0821428571429,21.0821428571429,25.1714285714286,NA,NA,21.1064285714286,10.1714285714286,30.1964285714286,35.8214285714286,4.02821428571429
2010-02-01,"Colombo",606,2.49285714285714,3.07142857142857,32.0178571428571,24.0964285714286,27.5642857142857,36.8392857142857,28.0928571428571,31.825,NA,NA,19.7685714285714,11.6285714285714,25.8035714285714,175.857142857143,4.38964285714286
2010-02-01,"Galle",79,1.77857142857143,3.57142857142857,31.1928571428571,24.3678571428571,27.4,37.3035714285714,28.4392857142857,32.3714285714286,NA,NA,21.6203571428571,12.6285714285714,27.5571428571429,79,4.56321428571429
2010-02-01,"Gampaha",623,1.50714285714286,2.14285714285714,32.7714285714286,24.0357142857143,27.8107142857143,36.9,27.8892857142857,31.7071428571429,NA,NA,20.2914285714286,12.2142857142857,29.1071428571429,141.392857142857,4.66928571428571
2010-02-01,"Hambantota",128,0.303571428571429,0.964285714285714,30.1714285714286,23.8571428571429,26.7714285714286,34.5214285714286,27.2821428571429,30.2821428571429,NA,NA,21.9967857142857,17.5214285714286,32.625,64.0357142857143,4.84321428571429
2010-02-01,"Jaffna",878,0,0,28.4642857142857,24.85,26.4964285714286,31.6571428571429,26.7464285714286,28.4785714285714,NA,NA,21.3492857142857,22.875,32.6535714285714,66.25,5.12
2010-02-01,"Kalutara",124,2.49285714285714,3.07142857142857,30.0892857142857,24.2535714285714,26.9035714285714,36.1785714285714,28.5464285714286,31.8607142857143,NA,NA,19.7685714285714,11.6285714285714,25.8035714285714,175.857142857143,4.09928571428571
2010-02-01,"Kandy",174,0.857142857142857,2,27.9571428571429,19.5107142857143,23.5714285714286,31.45,21.6928571428571,26.3357142857143,NA,NA,20.0403571428571,9.82142857142857,29.2714285714286,81.6428571428571,4.04071428571429
